Designation In English,المسمى الوظيفي بالإنجليزي
Batch-Wise Balance History,سجل رصيد الحساب علي مستوي الدفعة
Requested Items To Be Transferred,الأصناف المطلوب نقلها
Item Shortage Report,تقرير نقص الصنف
Purchase Order Items To Be Received,امر شراء الأصناف التي سيتم استلامها
Ordered Items To Be Delivered,الأصناف المطلوبة ليتم تسليمها
Delivery Note Trends,اتجاهات مذكرة التسليم
Packing Slip,كشف التعبئة
Serial No Warranty Expiry,الرقم التسلسلي لانتهاء الضمانة
Serial No Status,الرقم التسلسلي للحالة
Serial No Service Contract Expiry,الرقم التسلسلي لانتهاء عقد الخدمة
Batch,الدفعة
Serial No,الرقم التسلسلي
Serial No and Batch,الرقم التسلسلي والدفعة
Shipping Rule,قاعدة الشحن
Purchase Receipt,إيصال الشراء
Stock Transactions,المعاملات المالية
Delivery Note,مذكرة تسليم
Student Batch-Wise Attendance,الحضور بناء علي مجموعة الطلاب
Analytics,تحليلات
Trial Balance for Party,الرصيد التجريبي للمستفيد
Profitability Analysis,التحليل الربحي
Received Items To Be Billed,الاصناف المستلمة التي يجب المحاسبة عليها
Purchase Order Items To Be Billed,امر شراء الاصناف التي يجب المحاسبة عليها
Update Bank Transaction Dates,تحديث تواريخ المعاملات البنكية
Dropbox Settings,اعدادات Dropbox
Authentication,المصادقة
Backup,النسخ الاحتياطي
PayPal Settings,اعدادات PayPal
Student Log,سجل الطالب
Guardian,الوصي
Student Applicant,الطالب المتقدم
Student Monthly Attendance Sheet,ورقة الحضور الشهري للطالب
Absent Student Report,تقرير غياب الطالب
Student Attendance Tool,أداة حضور الطلاب
Student Leave Application,طلب اجازة الطالب
Assessment Result Tool,أداة تقييم النتيجة
Assessment Criteria Group,مجموعة معايير التقييم
Assessment,التقييم
Grading Scale,مقياس الدرجات
Assessment Result,نتيجة التقييم
Assessment Group,فريق التقييم
Assessment Plan,خطة التقييم
Student Batch Creation Tool,أداة إنشاء دفعة طالب
Course Scheduling Tool,اداة الجدول الزمني للمقرر التعليمي
Room,قاعة
Room Name,اسم القاعة
Sibling Details,تفاصيل الأخوة
Guardian Details,تفاصيل ولي الأمر
Home Address,عنوان المنزل
Student Admission,قبول الطالب
Course Schedule,الجدول الزمني للمقرر التعليمي
% Progress,التقدم المحرز%
Student,الطالب
Instructor Name,اسم المدرس
Instructor,مدرس
Max Strength,القوة القصوى
Course Intro,مقدمة عن المقرر التعليمي
Default Grading Scale,جدول الدرجات الافتراضي
Assessment Criteria,معايير التقييم
Course Name,اسم المقرر التعليمي
Course,المقرر التعليمي
Student Category,فئة الطالب
STUD.,طالب.
Student Mobile Number,رقم جوال الطالب
Student Email Address,عنوان البريد الإلكتروني للطالب
Grade,المرتبة
Is Debit,مدين
Is Credit,دائن
Old Number,رقم حساب قديم
Financial Item Number,الرقم المالي
Shown Number,الرقم الظاهر
Parent Account Number,اسم حساب الأب
Has Salary Domiciliation,الراتب لديه تسجيل رسمي
Family Member Name English,اسم فرد العائلة باللغة الانجليزية
Employee Identity Number,رقم هوية الموظف
Main Files,ملفات اساسية
Applied Job,الوظائف المتقدم لها
Offer Latter,عروض العمل
Job Oppening,الوظائف المتاحة
Request for Quotation,طلب الحصول علي عروض اسعار
Region Department,القسم المنطقة
Region City,الإقليم مدينه
Quotation,عروض أسعار
Permisions,صلاحيات
desk,سطح المكتب
Email address,البريد الالكتروني
Project Sponsor Name,اسم راعي المشروع
Project Manager Name,اسم مدير المشروع
Project Department,إدارة المشروع
Business Value,القيمة التجارية
Project Sponsor,راعي المشروع
Project Risk Position,مسؤول ادارة مخاطر المشروع
Executive Summary,ملخص تنفيذي
Impact if Project is NOT undertaken,الاثر الناتج عن عدم التعهد بالمشروع
Project Stream & Milestones,سير عمل المشروع والمحطات الرئيسية
Is Milestone,محطة رئيسية بالمشروع
Project Risk And Issues,مخاطر المشروع والمشكلات
risk,خطر
Likelihood,الاحتمالية
Impact,التأثير
Is Issue,مشكلة
Responsible,مسؤول
Project Financial domain,المجال المالي للمشروع
Has an estimated budget been determined for the project?,تم تحديد ميزانية تقديرية للمشروع ؟
Vendor Information,معلومات البائع
Will external vendors be undertaking the project?,هل سيتعهد البائعين الخارجين بالمشروع ؟
Project Team,فريق المشروع
Assign internal resource,تعيين الموارد الداخلية
Employee Designation,تعين الموظف
Employee Name,اسم الموظف
Employee English Name,اسم الموظف بالانجليزية
Mobile,الهاتف المحمول
Assign external resource,تعيين الموارد الخارجية
Project Documents,مستندات المشروع
Tayseer,تيسير التقنية
Application for Advance Payment,طلب سلفة
Select Leave Application,اختر طلب المغادرة
Employee Nationality,جنسية الموظف
Next Stage,المرحلة التالية
Current Stage,المرحلة الحالية
Return Date,تاريخ انتهاء الاجازة
Exit Re Entry Application,تذكرة خروج وعودة
Exit ReEntry Family Members,افراد العائلة المسجلين بتذكرة الخروج والعودة
Exit Date,تاريخ الخروج
Employee Name English,اسم الموظف بالانجليزي
Salaray,الراتب
status,الحالة
Advance Payment Amount,مبلغ السلفة
Executive Committee Sponsor,كفيل اللجنة التنفيذية
Executive Committee User,عضو اللجنة التنفيذية
Executive Committee Director,مدير عام اللجنة التنفيذية
Executive Committee Manager,مدير اللجنة التنفيذية
Select Business Trip Request,اختيار الرحلة المراد انهائها
Daily Per Diem Rate,بدل رحلة العمل اليومي
Total leave days must be greater than 0,عدد ايام الاجازة يجب ان يكون اكبر من 0.
month (%d) Limit is %d,الشهر %d محدد بعدد ايام %d.
You cant allocate more than {0} days from this kind of vacations.,يجب ان لايتجاوز عدد ايام الاجازة {0} يوم.
Must wait approved from {0},يجب انتظار موافقة {0}
Leave application must have leave approver,حقل الموظف البديل مطلوب
Employee field is mandatory,حقل الموظف مطلوب
Business Trip Request,طلب رحلة عمل
Current IBAN,رقم ال IBAN الحالي
Return or Cancel Date Hijri,تاريخ انتهاء الاجازه هجري
Current Bank,البنك الحالي
Attachment File,الملف المرفق
Return or Cancel Date,تاريخ انتهاء الاجازه
Accept ?,هل انت موافق ؟
"Invalid IBAN number, IBAN should be like SAxxxxxxxxxxxxxxxxxxxxxx.",رقم اي بان (IBAN) غير صالح، يجب ان يكون الأي بان بالشكل التالي (SAxxxxxxxxxxxxxxxxxxxxxx).
You must accept the Pledge before you can save the request,يجب ان تختار موافق على التعهد
Pledge,تعهد
Exit  Re_entry,خروج وعودة
Expense Claim Detail,تكاليف اضافية
New Bank,البنك الجديد
New IBAN,رقم ال IBAN الجديد
Grievance Type,نوع التظلم
National Id,هوية - اقامة
Is City,مدينة ؟
Is Region,منطقة ؟
Parent Region,المنطقة الاب
Region Browser,شجرة المناطق
Examination Type,نوع الطلب
Employee Change IBAN,طلب تغيير الIBAN
Salary Domiciliation Letter,طلب تثبيت راتب
Number of family members,عدد افراد العائلة
Residence Profession,المهنة في الاقامة
Project Status Report,تقرير حالة المشروع
Degree Payment,الراتب الاساسي للدرجة
Degree Number,رقم الدرجة
Class D Allowance,بدل فئة د
Class E Allowance,بدل فئة هـ
Jobs Hierarchy Browser,الهيكلة الوظائفية
Employee code,رمز الموظف
Transfer Order,المناقلات
Approvment Number,رقم الموافقة
The Status,الحالة
Approval Date,تاريخ الموافقة
You cannot credit and debit same account at the same time,لا يمكن إعطاء الحساب قيمة مدين وقيمة دائن في نفس الوقت
The account balance for the account {0} is less than the debit,"رصيد الحساب المتوفر في الحساب "" {0} "" أقل من الدين المطلوب"
Total Debit must be equal to Total Credit. The difference is {0},مجموع الدائن يجب أن يساوي مجموع المدين . الفرق يساوى {0}
Please select Transfer Date first,الرجاء إدراج التاريخ أولا
liquidity Transfer,مناقلة سيولة
Costs Transfer,مناقلة تكاليف
Transfer To Or  Support,نقل إلى - دعم
Transfer From Or Reduction,نقل من - خفض
liquidity Support,دعم سيولة
Costs Support,دعم التكاليف
liquidity Reduction,خفض السيولة
Costs Reduction,خفض التكاليف
Transfer To - Support,نقل إلى - دعم
Transfer from - Reduction,نقل من - خفض
Please select Transfer Type first,الرجاء إدراج نوع المناقلة أولا
Please select Cost Center first,الرجاء إدراج مركز التكلفة أولا
Please select Fiscal Year first,الرجاء إدراج السنة المالية أولا
You must insert amount to transfer,يجب إدخال مبلغ ليتم نقله
Total credit must be equal to 0,المبلغ المنقول منه يجب أن يكون 0
You must insert amount to support,يجب إضافة مبلغ الدعم
Total debit must be equal to 0,المبلغ المنقول إليه يجب أن يكون 0
You must insert amount to reduce,يجب إضافة مبلغ الخفض
You must insert the approvment number first,يجب إدخال رقم الموافقة قبل الاعتماد
The account {0} dosnt found in the budget,الحساب {0} غير مدرج في الميزانية للسنة المالية ومركز التكلفة المحددان
There is no budget for the  given cost center and fiscal year,لا توجد ميزانية موضوعة لمركز التكلفة والسنة المالية المحددان
Transfer Order Workflow,سيؤ عمل المناقلات
add_approvment_no,إضافة رقم الاعتماد
Holdment Number,رقم الارتباط
Order Status,حالة الطلب
Record Number,رقم السجل
Contractor,المقاول
employee_name,اسم الموظف
Administration,الإدارة
Holdments,ارتباط
Year is not allowable.Please change the default fiscal year to the current year,"غير مسموح إضافة ارتباط على هذه السنة المالية,الرجاء تغيير السنة المالية المححدة"
accept,قبول
reject,رفض
Account Reduction and Support,حساب الخفض والدعم
Reduction/Support Number,رقم الخفض/الدعم
Number Of Agree,رقم الموافقة
Date of Agree,تاريخ الموافقة
letter number,رقم الخطابة
balance,الموازنة
Branch Name,اسم الفرع
Total Support,اجمالي الدعم
Reduction,الخفض
Date Transaction,تاريخ العملية
Total Reduction,اجمالي الخفض
Cheque Number,رقم الشيك
Receipt Name,اسم المستلم
Remaining Amount,المبلغ المتبقي
Total Cheque Reconciliation,اجمالي تسوية الشيكات
Total Cheques,اجمالي الشيكات
For Reason,مقابل
Cheque,شيك
Transfere,تحويل
Written Amount,المبلغ كتابة
Cheque Order,أمر صرف شيك
Applied,طلب
project,مشروع/برنامج
transfer from  costs,المنقول من التكاليف
support dependence,المعزز للاعتماد
Transfer to cost,المنقول الي التكاليف
Reduction costs,المخفض من التكاليف
Transfer to dependent,المنقول الي الاعتماد
reduction dependence,المخفض من الاعتماد
Budget Amount,المبلغ المعتمد
Reliance and transfers,الاعتماد والمناقلات
Enhanced costs,المعزز للتكاليف
minutes ago,دقائق مضت
Paid Total,المبلغ الاجمالي المدفوع
Pending Total,في انتظار الكلي
Total Of Holdment,الارتباط الكلي
Holdment,ارتباط
Current Balance,الميزانية الحالية
Expence After Balance,التكاليف بعد الميزانية
Expence Current Balance,تكاليف الحساب الحالي
Expence,التكاليف
Expense,التكاليف
After Balance,بعد الميزانية
Statment,تقرير
Holdment Account,حساب الارتباط
Holdment Detail Name,تفاصيل اسم الارتباط
test,اختبار
Holdment Detail,تفاصيل الارتباط
Mode of Payment Account,حساب طريقة الدفع
Settlement Number,رقم التسوية
Pages Number,عدد الأوراق
Custody Number,رقم العهدة
Reference Date,تاريخ الارتباط
Reference Number,رقم الارتباط
Expenditure Order User Remarks,ملاحظات المرتبط
Reference Name,البيان
Account Paid To,مقابل
The Amount,المبلغ
Official body,الجهة
Payment Order,امر الدفع
Statement,بيان
Linking,ارتباط
Party,المستفيد
Party Type,نوع المستفيد
Party Info,معلومات المستفيد
Party Balance,رصيد المستفيد
Expenditure Order Type,نوع امر الصرف
Account Expence,نفقات الحساب
Account Expense,نفقات الحساب
Audit Remarks,ملاحظات المدقق
Financial Settlement,تسوية مالية
Auditing,تدقيق
Linking Rejected,الغاء الارتباط
Auditing Rejected,اعادة تدقيق
Audit,تدقيق
Civil Registry,السجل المدني
Commercial Register,السجل التجاري
Foreign Currency Amount,القيمة بالعملة الاجنبية
Bank Account Number,رقم حساب البنك
Correlation Number,رقم الارتباط
Application Number,رقم الطلب
Internal Origin Number,رقم الحصر
Multicurrency,عملات متعددة
Expenditure Order,امر الصرف
Dr,Dr
"Fiscal Period start date or end date is overlapping with {0}""",الفترة المالية تتعارض مع  {0}
"Fiscal Period start date or end date is overlapping in rows {0} ,{1}","الفترة المالية تتعارض في الصفوف  {0} ,{1}"
Job Name,اسم
Nature of work allowance,نسبة بدل طبيعة عمل
Job Status,حالة الوظيفة
Serial Number,رقم الوظيفة
transfer from costs,المنقول من التكاليف
support costs,المعزز للتكاليف
Party Name,اسم المستفيد
Rejected,رفض
Remain,النسبة
Expense Previous Years,المنصرف
Holdment Amount,المرتبط
depe_after edit,الاعتماد بعد التعديل
transfer to dependents,منقول اليه
transfer from dependence,منقول منه
total amount,الاعتماد الأساسي
Budget Economic Classification,الميزانية - التصنيف الاقتصادي
Ratio,النسبة
Transfer Number,رقم المناقلة
Amount should be more than 0,الكمية المدخلة غير صحيحة
budget,الميزانية
WORKFLOW_STATE,سير العمل
المؤهل العلمي,الدرجة
Payment after annual bonus,الدفع بعد المكافأة السنوية
Absent Late,علاوة سنوية
annual bonus,علاوة سنوية
Batch Number,رقم الدفعة
Exam study leave,اجازة الامتحانات
Family Member Name,اسم قريب من العائلة
Appraisall,التقييم
Job Id without parent,رقم الوظيفة بدون الاب
parent,رقم الاب
Degree sec,قسم الدرجة
Appraisall sec,قسم التقييم
Department Name,اسم القسم
Line Manager,المدير التنفيذي
Branch Number,رقم الفرع
Grade Information,معلومات الدرجة
Job Assignment sec,قسم الانتدابات
Parent Department,القسم الأب
Job Hierarchy,انواع الوظائف
Department Manger,المدير
Add Child,اضافة
Job Hierarchy Browser,الهيكلة الوظيفية
Human Resources,الموارد البشرية
parent_code,رمز القسم/الادارة الأب
Department Code,رمز القسم/الادارة
Department Parent Code,رمز القسم/الادارة الأب
Department Number,رقم القسم/الادارة
Vice Presedint,مدير الادارة الأب
Tree Level,المستوى
Parent Job Hierarchy,الوظيفة الأب
Class Allowance,مسمى فئة الانتداب
Day Numbers,عدد الأيام
category,فئة
housing Costs,تكاليف سكن
Way travel,وسيلة سفر
cost_assignment,مبلغ الانتداب
Believer,مؤمن
not Believer,غير مؤمن
Extra days,ايام اضافية
Extra days befor,ايام اضافية قبل الانتداب
Extra days after,ايام اضافية بعد الانتداب
Parent Code,رقم الاب القسم/الادارة
Code Enter,رقم القسم/الادارة
Masters,الموردون
Create Leads,إنشاء عروض
"Leads help you get business, add all your contacts and more as your leads",العروض تساعدك للحصول على الأعمال التجارية،وإضافة كافة جهات الاتصال الخاصة بك والمزيد من عروضك
Make Lead,أنشئ عرض
Manage your orders,إدارة طلباتك
Make Sales Orders to help you plan your work and deliver on-time,أنشئ طلبات المبيعات لتساعدك على خطة العمل الخاصة بك وتسليمها بالوقت المناسب
Create Purchase Orders,أنشئ طلبات الشراء
Purchase orders help you plan and follow up on your purchases,طلبات الشراء تساعدك على تخطيط ومتابعة عمليات الشراء الخاصة بك
Add Timesheets,إضافة جداول زمنية
"Timesheets help keep track of time, cost and billing for activites done by your team",الجداول الزمنية تساعد على الحفاظ على المسار من الوقت والتكاليف والفواتير للنشاطات الذي قام به فريق العمل الخاص بك
Sick Leave,إجازة مرض
Bimonthly,مرة كل شهرين
Fortnightly,كل أسبوعين
Payroll Frequency,فترة الراتب
Vehicle Expenses,نفقات المركبات
Odometer,عداد المسافات
Vehicle Log,سجل المركبات
Additional Charges,تكلفة اضافية
In Process,قيد الانتاج
Outgoing,الصادر
UOM,وحدة القياس
Gram,جرام
Example,مثال
Chart Of Accounts Template,نموذج دليل الحسابات
Create Chart Of Accounts Based On,إنشاء دليل الحسابات معتمدا على
BOM,فاتورة المواد
Terms and Conditions,الشروط والأحكام
Cheque Print Template,قالب طباعة الشيكات
Repayment Method,طريقة التسديد
Repayment Info,معلومات التسديد
Loan Amount,مبلغ القرض
Loan Info,معلومات القرض
Select Companies,حدد الشركات
Send Emails At,إرسال رسائل البريد الإلكتروني في
Daily Work Summary,ملخص العمل اليومي
"Download the Template, fill appropriate data and attach the modified file. All dates and employee combination in the selected period will come in the template, with existing attendance records",قم بتحميل القالب وملء البيانات المناسبة وإرفاق الملف تم تعديله. سوف تأتي جميع التواريخ وتركيبة الموظفين في الفترة الزمنية المحددة في القالب،مع قائمة سجلات الحضور
Odometer Reading,قراءة عداد المسافات
Fuel Qty,كمية الوقود
Fuel Price,سعر الوقود
Invoice Ref,مرجع الفاتورة
Refuelling Details,تفاصيل إعادة التزود بالوقود
Service_Details,تفاصيل الخدمة
Fuel Type,نوع الوقود
Additional Details,تفاصيل إضافية
Acquisition Date,تاريخ الإمتلاك
Insurance Company,شركة التأمين
Doors,الأبواب
Event Name,إسم الحدث
Event Status,حالة الحدث
Accounts Payable Summary,ملخص الحسابات المستحقة للدفع
Loan Details,تفاصيل القرض
Repayment Period in Months,فترة التسديد في الأشهر
Disbursement Date,تاريخ الصرف
Employee Loan Account,حساب قرض الموظف
Interest Income Account,حساب إيرادات الفوائد
Total Payment,إجمالي المدفوعات
Principal Amount,المبلغ الرئيسي
Repay from Salary,تسديد من الراتب
Account Info,معلومات الحساب
Repayment Schedule,الجدول الزمني للتسديد
Total Interest Payable,مجموع الفوائد مستحقة الدفع
Interest Amount,مبلغ الفائدة
Balance Loan Amount,رصيد القرض
Loan Name,إسم القرض
Maximum Loan Amount,الحد الأقصى لمبلغ القرض
Rate of Interest (%) Yearly,معدل الفائدة (%) سنويا
Sanctioned,مقرر
Fully Disbursed,صرف كلي
Partially Disbursed,صرف جزئي
Repay Fixed Amount per Period,تسديد مبلغ ثابت كل فترة
Repay Over Number of Periods,التسديد أكثر من عدد الفترات
Monthly Repayment Amount,مبلغ التسديد شهريا
Maintain Billing Hours and Working Hours Same on Timesheet,الحفاظ على ساعات الفوترة وساعات العمل نفسها في الجدول الزمني
Emails salary slip to employee based on preferred email selected in Employee,البريد الإلكتروني لقسيمة راتب الموظف معتمدا على البريد الإلكتروني المحدد لدى الموظف
Select Payroll Period,حدد فترة الرواتب
Edit Posting Date and Time,تعديل نشر التاريخ والوقت
Prefered Email,البريد الإلكتروني المفضل
Provide Email Address registered in company,توفير عنوان البريد الإلكتروني المسجل في الشركة
Billing Details,تفاصيل الفاتورة
Total Billable Hours,إجمالي الساعات القابلة للفوترة
Total Billable Amount,إجمالي المبلغ القابل للفوترة
Billing Hours,ساعات الفوترة
On Leave,في إجازة
Incentives,الحوافز
Working Hours,ساعات العمل
Offer Letter,عروض العمل
Leave Control Panel,لوحة تحكم الإجازات
Default Bank / Cash account will be automatically updated in Salary Journal Entry when this mode is selected.,البنك الإفتراضي / الحساب النقدي سيتم تحديثه تلقائيا في دفتر يومية الراتب عندما يتم إختيار هذه الحالة.
Appraisal Template Title,عنوان نموذج التقييم
Conference,مؤتمر
Workshop,ورشة عمل
Exam,إمتحان
Seminar,ندوة
Internet,إنترنت
Theory,نظرية
Fuel UOM,وقود UOM
Odometer Value (Last),قيمة عداد المسافات(الأخير)
Insurance Details,تفاصيل التأمين
Chassis No,رقم الشاصي
Vehicle Value,قيمة المركبة
Fleet Management,إدارة المركبات
"The account head under Liability or Equity, in which Profit/Loss will be booked",مدير الحساب تحت المسؤولية أو الإنصاف،الربح أو الخسارة سوف يتم حجزه
Account Number Settings,إعدادات رقم الحساب
Allow user to edit Rate,السماح للمستخدم بتعديل المعدل
Notify by email,إشعار عن طريق البريد الإلكتروني
Allocate Payment Amount,تخصيص مبلغ الدفع
Supplier Invoice Details,تفاصيل فاتورة المورد
Email,البريد الإلكتروني
Contact Number,رقم جهة الإتصال
Address Name,إسم العنوان
Budget Against,مقابل الميزانية
Awaiting password,في إنتظار كلمة السر
Email Group,مجموعة البريد الإلكتروني
Send Attachements,إرسال المرفقات
Send Unsubscribe Link,إرسال رابط إلغاء الإشتراك
Shipping Address Name,إسم عنوان الشحن
Standard Selling Rate,معدل البيع القياسي
Inspection Required before Delivery,التفتيش مطلوب قبل التسليم
Inspection Required before Purchase,التفتيش مطلوب قبل الشراء
Max Qty,الحد الأقصى للكمية
Min Qty,الحد الأدنى للكمية
Commission Rate (%),معدل العمولة (%)
Report Date,تاريخ التقرير
Add / Edit Prices,إضافة / تعديل الأسعار
Close Opportunity After Days,إغلاق الفرصة بعد أيام
Auto close Opportunity after 15 days,إغلاق الفرصة تلقائيا بعد 15 يوم
Target Qty,الكمية المستهدفة
Sales Taxes and Charges Template,نموذج الرسوم وضرائب المبيعات
Sales Funnel,هرم المبيعات
Sales Person,مندوب المبيعات
BOM Search,البحث في جدول المواد
Search Sub Assemblies,بحث التجميعات الفرعية
Customer Addresses And Contacts,عناوين العملاء وجهات الإتصال
Purchase Taxes and Charges Template,نموذج رسوم وضرائب الشراء
Costing Rate,معدل التكاليف
Default Billing Rate,معدل الفواتير الإفتراضي
Default Costing Rate,معدل التكاليف الإفتراضي
Billing Rate,معدل الفاتورة
Purchase Receipt Trends,إتجاهات إيصال الشراء
Student Batch,دفعة الطالب
Daily Timesheet Summary,ملخص الجدول الزمني اليومي
Total Billing Amount (via Time Sheet),مبلغ الفاتورة الكلي(ورقة الوقت)
Total Costing Amount (via Time Sheet),مبلغ التكاليف الكلية (ورقة الوقت)
Stock,المخازن
Stock Balance,رصيد المخازن
Stock Projected Qty,كمية المخازن المتوقعة
Show Barcode Field,إظهار حقل الباركود
Limit Percent,نسبة الحد الأقصى
Default Item Group,مجموعة الأصناف الإفتراضية
Default Stock UOM,وحدة قياس المخازن الإفتراضية
Stock Analytics,تحليلات المخازن
Error Snapshot,لقطة الخطأ
Creation Document Type,إنشاء نوع المستند
Projected qty,الكمية المتوقعة
Purchase Receipt Items,إيصال شراء الأصناف
Quantity Difference,فرق الكمية
Maintain Stock,الإحتفاظ بالمخازن
Valuation Rate,معدل التقييم
Auto Material Request,طلب المواد تلقائيا
Auto insert Price List rate if missing,إضافة معدل قائمة الأسعار تلقائيا إذا كان مفقودا
Email Status,حالة البريد الإلكتروني
Your sales person who will contact the customer in future,مندوب مبيعاتك الذي سيتم الإتصال بالعميل في المستقبل
Publish Items on Website,نشر الأصناف على الموقع
Default Cost Center,مركز التكلفة الإفتراضي
End Date,تاريخ النهاية
Weight,الوزن
% Complete Method,الطريقة كاملة %
Timesheet,الجدول الزمني
Opening Accounting Balance,فتح رصيد المحاسبة
No of Visits,عدد الزيارات
Term Start Date,تاريخ بدء الفصل
Term End Date,تاريخ نهاية الفصل
Term Name,إسم الفصل
Default Company,الشركة الإفتراضية
Email Domain,مجال البريد الإلكتروني
Message Example,مثال الرسالة
Customize the Notification,تخصيص الإشعارات
Stock Settings,إعدادات المخازن
icon,الرمز
Email Queue,قائمة إنتظار البريد الإلكتروني
Naming Series,سلسلة التسمية
Tag Category,فئة العلامة
Workflow Action,إجراء سير العمل
Rate (SAR),معدل (SAR)
Completed Production Orders,إنجاز أوامر الإنتاج
Feedback Trigger,تغذية راجعة
Authorization Rule,شاشة الصلاحيات
Website Sidebar,موقع الشريط الجانبي
Portal Settings,إعدادات البوابة
Prices will not be shown if Price List is not set,الأسعار لن تظهر إذا لم يتم تعيين قائمة الأسعار
Company Tagline for website homepage,شعار الشركة للصفحة الرئيسية للموقع
Help Category,فئة المساعدة
Trial Balance,ميزان المراجعة
Bank Reconciliation Statement,بيان تسوية حساب بنكية
Application Access Key,مفتاح وصول التطبيق
Default Payroll Payable Account,حساب كشف الرواتب مستحقة الدفع الإفتراضية
Stock Adjustment Account,حساب تسوية المخازن
Include Payment (POS),تشمل الدفع (POS)
Landed Cost Voucher Amount,هبوط تكلفة مبلغ السند
Distribution Name,إسم التوزيع
Schedule Date,تاريخ الجدول
Sales Partner,شريك المبيعات
Price List Name,إسم قائمة الأسعار
Drop Ship,إنخفاض الشحن
Sales Partner Target,شريك المبيعات المستهدف
Target Distribution,توزيع الأهداف
Set targets Item Group-wise for this Sales Person.,تعيين أهداف الأصناف لمندوب المبيعات على مستوى المجموعة.
Task Completion,مهمة مكتملة
Task Progress,مهمة قيد التنفيذ
Costing Amount,مبلغ التكلفة
All Territories,كل الأقاليم
Rest Of The World,باقي أنحاء العالم
Saudi Arabia,المملكة العربية السعودية
Salutation,اللقب
Create User,إنشاء مستخدم جديد
"Mandatory fields required in table '{0}', Row 1","الحقول الإلزامية في جدول {0}, الصف"
Not found,غير متوفر
Version Updated,تحديث الإصدار
Frappe User ID,هوية المستخدم
Missing Fields,حقول مطلوبة
